GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033030311,53033030311,"Census Tract 303.11, King County, Washington",257800,13504
1400000US53033030312,53033030312,"Census Tract 303.12, King County, Washington",263700,19210
1400000US53033030313,53033030313,"Census Tract 303.13, King County, Washington",46600,23973
1400000US53033030314,53033030314,"Census Tract 303.14, King County, Washington",170900,14587
1400000US53033030401,53033030401,"Census Tract 304.01, King County, Washington",296700,19840
1400000US53033030403,53033030403,"Census Tract 304.03, King County, Washington",269300,17066
1400000US53033030404,53033030404,"Census Tract 304.04, King County, Washington",327800,24098
1400000US53033030501,53033030501,"Census Tract 305.01, King County, Washington",238500,52986
1400000US53033030503,53033030503,"Census Tract 305.03, King County, Washington",218300,38733
1400000US53033030504,53033030504,"Census Tract 305.04, King County, Washington",143900,43947
1400000US53033030600,53033030600,"Census Tract 306, King County, Washington",215900,22076
1400000US53033030700,53033030700,"Census Tract 307, King County, Washington",199500,18861
1400000US53033030801,53033030801,"Census Tract 308.01, King County, Washington",23600,4257
1400000US53033030802,53033030802,"Census Tract 308.02, King County, Washington",214200,27530
1400000US53033030901,53033030901,"Census Tract 309.01, King County, Washington",205900,13487
1400000US53033030902,53033030902,"Census Tract 309.02, King County, Washington",231400,39181
1400000US53033031000,53033031000,"Census Tract 310, King County, Washington",344800,12257
1400000US53033031100,53033031100,"Census Tract 311, King County, Washington",211700,12354
1400000US53033031202,53033031202,"Census Tract 312.02, King County, Washington",430300,38915
1400000US53033031204,53033031204,"Census Tract 312.04, King County, Washington",373800,22010
1400000US53033031205,53033031205,"Census Tract 312.05, King County, Washington",301100,33084
1400000US53033031206,53033031206,"Census Tract 312.06, King County, Washington",220600,27753
1400000US53033031301,53033031301,"Census Tract 313.01, King County, Washington",387600,33021
1400000US53033031302,53033031302,"Census Tract 313.02, King County, Washington",269000,18060
1400000US53033031400,53033031400,"Census Tract 314, King County, Washington",250400,17550
1400000US53033031501,53033031501,"Census Tract 315.01, King County, Washington",379300,24711
1400000US53033031502,53033031502,"Census Tract 315.02, King County, Washington",349500,21053
1400000US53033031601,53033031601,"Census Tract 316.01, King County, Washington",372900,17812
1400000US53033031603,53033031603,"Census Tract 316.03, King County, Washington",360300,27788
1400000US53033031604,53033031604,"Census Tract 316.04, King County, Washington",323400,16122
1400000US53033031605,53033031605,"Census Tract 316.05, King County, Washington",469000,35827
1400000US53033031703,53033031703,"Census Tract 317.03, King County, Washington",338800,28289
1400000US53033031704,53033031704,"Census Tract 317.04, King County, Washington",322900,17882
1400000US53033031705,53033031705,"Census Tract 317.05, King County, Washington",336200,16267
1400000US53033031706,53033031706,"Census Tract 317.06, King County, Washington",326200,21206
1400000US53033031800,53033031800,"Census Tract 318, King County, Washington",369400,17842
1400000US53033031903,53033031903,"Census Tract 319.03, King County, Washington",376000,20471
1400000US53033031904,53033031904,"Census Tract 319.04, King County, Washington",415100,47819
1400000US53033031906,53033031906,"Census Tract 319.06, King County, Washington",430600,24712
1400000US53033031907,53033031907,"Census Tract 319.07, King County, Washington",382400,24158
1400000US53033031908,53033031908,"Census Tract 319.08, King County, Washington",319800,30140
1400000US53033031909,53033031909,"Census Tract 319.09, King County, Washington",392000,24114
1400000US53033032002,53033032002,"Census Tract 320.02, King County, Washington",518900,37527
1400000US53033032003,53033032003,"Census Tract 320.03, King County, Washington",428100,33661
1400000US53033032005,53033032005,"Census Tract 320.05, King County, Washington",238800,10242
1400000US53033032006,53033032006,"Census Tract 320.06, King County, Washington",352100,15976
1400000US53033032007,53033032007,"Census Tract 320.07, King County, Washington",370300,28382
1400000US53033032008,53033032008,"Census Tract 320.08, King County, Washington",311600,22486
1400000US53033032010,53033032010,"Census Tract 320.10, King County, Washington",372500,17004
1400000US53033032011,53033032011,"Census Tract 320.11, King County, Washington",366000,19485
1400000US53033032102,53033032102,"Census Tract 321.02, King County, Washington",550800,29566
1400000US53033032103,53033032103,"Census Tract 321.03, King County, Washington",441400,30202
1400000US53033032104,53033032104,"Census Tract 321.04, King County, Washington",516800,52016
1400000US53033032203,53033032203,"Census Tract 322.03, King County, Washington",718900,56318
1400000US53033032207,53033032207,"Census Tract 322.07, King County, Washington",740200,57175
1400000US53033032208,53033032208,"Census Tract 322.08, King County, Washington",487600,51354
1400000US53033032210,53033032210,"Census Tract 322.10, King County, Washington",586600,55393
1400000US53033032211,53033032211,"Census Tract 322.11, King County, Washington",606300,32006
1400000US53033032212,53033032212,"Census Tract 322.12, King County, Washington",539500,39125
1400000US53033032213,53033032213,"Census Tract 322.13, King County, Washington",789400,35629
