GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US53033022605,53033022605,"Census Tract 226.05, King County, Washington",2579,56,930,161,1649,159
1400000US53033022606,53033022606,"Census Tract 226.06, King County, Washington",2268,135,1575,160,693,129
1400000US53033022701,53033022701,"Census Tract 227.01, King County, Washington",1486,114,561,84,925,105
1400000US53033022702,53033022702,"Census Tract 227.02, King County, Washington",1423,64,1153,89,270,89
1400000US53033022703,53033022703,"Census Tract 227.03, King County, Washington",857,58,601,68,256,58
1400000US53033022801,53033022801,"Census Tract 228.01, King County, Washington",3828,164,1316,174,2512,193
1400000US53033022802,53033022802,"Census Tract 228.02, King County, Washington",2037,66,1414,118,623,110
1400000US53033022803,53033022803,"Census Tract 228.03, King County, Washington",2334,173,630,104,1704,195
1400000US53033022901,53033022901,"Census Tract 229.01, King County, Washington",1019,50,828,77,191,69
1400000US53033022902,53033022902,"Census Tract 229.02, King County, Washington",2404,124,1753,143,651,146
1400000US53033023000,53033023000,"Census Tract 230, King County, Washington",1773,91,1609,105,164,60
1400000US53033023100,53033023100,"Census Tract 231, King County, Washington",1419,54,1141,96,278,76
1400000US53033023201,53033023201,"Census Tract 232.01, King County, Washington",2695,182,696,168,1999,226
1400000US53033023202,53033023202,"Census Tract 232.02, King County, Washington",1841,84,606,110,1235,122
1400000US53033023300,53033023300,"Census Tract 233, King County, Washington",2328,49,1689,146,639,152
1400000US53033023401,53033023401,"Census Tract 234.01, King County, Washington",1543,66,940,102,603,102
1400000US53033023403,53033023403,"Census Tract 234.03, King County, Washington",1589,74,1218,106,371,87
1400000US53033023404,53033023404,"Census Tract 234.04, King County, Washington",1174,72,1000,91,174,67
1400000US53033023500,53033023500,"Census Tract 235, King County, Washington",1470,83,1080,101,390,92
1400000US53033023601,53033023601,"Census Tract 236.01, King County, Washington",1750,77,903,123,847,125
1400000US53033023603,53033023603,"Census Tract 236.03, King County, Washington",2566,131,728,131,1838,193
1400000US53033023604,53033023604,"Census Tract 236.04, King County, Washington",2578,140,1139,147,1439,177
1400000US53033023700,53033023700,"Census Tract 237, King County, Washington",1738,60,1142,102,596,97
1400000US53033023801,53033023801,"Census Tract 238.01, King County, Washington",1286,88,526,79,760,107
1400000US53033023803,53033023803,"Census Tract 238.03, King County, Washington",2953,202,470,114,2483,227
1400000US53033023804,53033023804,"Census Tract 238.04, King County, Washington",4102,253,953,193,3149,269
1400000US53033023900,53033023900,"Census Tract 239, King County, Washington",2789,152,1959,142,830,149
1400000US53033024000,53033024000,"Census Tract 240, King County, Washington",3365,160,2144,205,1221,204
